Organism,ToL ID,INSDC ID,Common Name,Current status,External references
Ancistrocerus nigricornis,iyAncNigr1,PRJEB46273,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=76990&result=taxon&taxonomy=ncbi#Ancistrocerus nigricornis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ancistrocerus-nigricornis;
Nomada fabriciana,iyNomFabr1,PRJEB44826,Fabricius' Nomad Bee,Annotation Complete,https://goat.genomehubs.org/records?record_id=601510&result=taxon&taxonomy=ncbi#Nomada fabriciana;https://tolqc.cog.sanger.ac.uk/darwin/insects/Nomada-fabriciana;
Spilosoma lubricipeda,ilSpiLubr1,PRJEB42943,White Ermine,Annotation Complete,https://goat.genomehubs.org/records?record_id=875880&result=taxon&taxonomy=ncbi#Spilosoma lubricipeda;https://tolqc.cog.sanger.ac.uk/darwin/insects/Spilosoma-lubricipeda;https://wellcomeopenresearch.org/articles/6-271/v1
Epinotia nisella,"ilEpiNise1, ilEpiNise2",PRJEB50719,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=989769&result=taxon&taxonomy=ncbi#Epinotia nisella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Epinotia-nisella;
Thyatira batis,"ilThyBati2, ilThyBati1",PRJEB42111,Peach Blossom,Annotation Complete,https://goat.genomehubs.org/records?record_id=721163&result=taxon&taxonomy=ncbi#Thyatira batis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Thyatira-batis;https://wellcomeopenresearch.org/articles/6-267/v1
Watsonalla binaria,ilWatBina1,PRJEB48673,Oak Hook-tip,Annotation Complete,https://goat.genomehubs.org/records?record_id=721165&result=taxon&taxonomy=ncbi#Watsonalla binaria;https://tolqc.cog.sanger.ac.uk/darwin/insects/Watsonalla-binaria;
Bibio marci,"idBibMarc2, idBibMarc3, idBibMarc1",PRJEB45104,St. Mark's fly,Annotation Complete,https://goat.genomehubs.org/records?record_id=189979&result=taxon&taxonomy=ncbi#Bibio marci;https://tolqc.cog.sanger.ac.uk/darwin/insects/Bibio-marci;https://wellcomeopenresearch.org/articles/6-285/v1
Colias croceus,"ilColCroc1, ilColCroc3, ilColCroc4, ilColCroc2",PRJEB42935,clouded yellow,Annotation Complete,https://goat.genomehubs.org/records?record_id=72248&result=taxon&taxonomy=ncbi#Colias croceus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Colias-croceus;https://wellcomeopenresearch.org/articles/6-284/v1
Aporia crataegi,"ilApoCrat2, ilApoCrat1",PRJEB45663,Black-veined White,Annotation Complete,https://goat.genomehubs.org/records?record_id=129397&result=taxon&taxonomy=ncbi#Aporia crataegi;https://tolqc.cog.sanger.ac.uk/darwin/insects/Aporia-crataegi;https://wellcomeopenresearch.org/articles/7-81/v1
Biston betularia,"ilBisBetu3, ilBisBetu2, ilBisBetu1",PRJEB43777,pepper-and-salt moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=82595&result=taxon&taxonomy=ncbi#Biston betularia;https://tolqc.cog.sanger.ac.uk/darwin/insects/Biston-betularia;https://wellcomeopenresearch.org/articles/7-97/v1
Pieris brassicae,"ilPieBrab4, ilPieBrab2, ilPieBrab3, ilPieBrab1",PRJEB42109,large cabbage white,Annotation Complete,https://goat.genomehubs.org/records?record_id=7116&result=taxon&taxonomy=ncbi#Pieris brassicae;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pieris-brassicae;https://wellcomeopenresearch.org/articles/6-262/v1
Melanargia galathea,"ilMelGala4, ilMelGala1, ilMelGala3, ilMelGala2",PRJEB46844,marbled white,Annotation Complete,https://goat.genomehubs.org/records?record_id=111923&result=taxon&taxonomy=ncbi#Melanargia galathea;https://tolqc.cog.sanger.ac.uk/darwin/insects/Melanargia-galathea;https://wellcomeopenresearch.org/articles/7-123/v1
Autographa gamma,"ilAutGamm2, ilAutGamm1",PRJEB42084,silver Y moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=254363&result=taxon&taxonomy=ncbi#Autographa gamma;https://tolqc.cog.sanger.ac.uk/darwin/insects/Autographa-gamma;https://wellcomeopenresearch.org/articles/7-100/v1
Pholis gunnellus,fPhoGun1,PRJEB43774,rock gunnel,Annotation Complete,https://goat.genomehubs.org/records?record_id=56726&result=taxon&taxonomy=ncbi#Pholis gunnellus;https://tolqc.cog.sanger.ac.uk/darwin/fish/Pholis-gunnellus;https://wellcomeopenresearch.org/articles/7-58/v1
Meganola albula,"ilMegAlbu2, ilMegAlbu1, ilMegAlbu3, ilMegAlbu4",PRJEB46292,Kent Black Arches,Annotation Complete,https://goat.genomehubs.org/records?record_id=987977&result=taxon&taxonomy=ncbi#Meganola albula;https://tolqc.cog.sanger.ac.uk/darwin/insects/Meganola-albula;https://wellcomeopenresearch.s3.amazonaws.com/manuscripts/20707/0c46c872-8aa6-4d33-b649-a23f329d43b6_18672%20-%20Tree%20of%20Life%20Team%20Sanger.html
Celastrina argiolus,"ilCelArgi1, ilCelArgi2, ilCelArgi4, ilCelArgi3",PRJEB42086,holly blue,Annotation Complete,https://goat.genomehubs.org/records?record_id=203782&result=taxon&taxonomy=ncbi#Celastrina argiolus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Celastrina-argiolus;https://wellcomeopenresearch.org/articles/6-340/v1
Mellicta athalia,"ilMelAtha2, ilMelAtha1",PRJEB42940,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=113330&result=taxon&taxonomy=ncbi#Mellicta athalia;https://tolqc.cog.sanger.ac.uk/darwin/insects/Mellicta-athalia;https://wellcomeopenresearch.org/articles/6-304/v1
Laspeyria flexula,"ilLasFlex2, ilLasFlex1",PRJEB42096,Beautiful Hook-tip,Annotation Complete,https://goat.genomehubs.org/records?record_id=938238&result=taxon&taxonomy=ncbi#Laspeyria flexula;https://tolqc.cog.sanger.ac.uk/darwin/insects/Laspeyria-flexula;
Acentria ephemerella,"ilAceEphe1, ilAceEphe2, ilAceEphe3, ilAceEphe4, ilAceEphe5",PRJEB52476,Water Veneer,Annotation Complete,https://goat.genomehubs.org/records?record_id=1666818&result=taxon&taxonomy=ncbi#Acentria ephemerella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Acentria-ephemerella;
Noctua fimbriata,ilNocFimb1,PRJEB42101,Broad-bordered Yellow Underwing,Annotation Complete,https://goat.genomehubs.org/records?record_id=753202&result=taxon&taxonomy=ncbi#Noctua fimbriata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Noctua-fimbriata;https://wellcomeopenresearch.org/articles/6-345/v1
Nysson spinosus,iyNysSpin1,PRJEB45139,Large Spurred Digger Wasp,Annotation Complete,https://goat.genomehubs.org/records?record_id=2495127&result=taxon&taxonomy=ncbi#Nysson spinosus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Nysson-spinosus;
Hylaea fasciaria,ilHylFasc1,PRJEB42094,Barred Red,Annotation Complete,https://goat.genomehubs.org/records?record_id=722673&result=taxon&taxonomy=ncbi#Hylaea fasciaria;https://tolqc.cog.sanger.ac.uk/darwin/insects/Hylaea-fasciaria;
Fabriciana adippe,"ilFabAdip2, ilFabAdip1",PRJEB43780,high brown fritillary,Annotation Complete,https://goat.genomehubs.org/records?record_id=405009&result=taxon&taxonomy=ncbi#Fabriciana adippe;https://tolqc.cog.sanger.ac.uk/darwin/insects/Fabriciana-adippe;https://wellcomeopenresearch.s3.amazonaws.com/manuscripts/20590/441132ee-208a-4622-8706-c23ec284bf7b_18569%20-%20Tree%20of%20Life%20Team%20Sanger.html
Cerceris rybyensis,iyCerRyby1,PRJEB45162,Ornate Tailed Digger Wasp,Annotation Complete,https://goat.genomehubs.org/records?record_id=1167272&result=taxon&taxonomy=ncbi#Cerceris rybyensis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Cerceris-rybyensis;https://wellcomeopenresearch.org/articles/6-337/v1
Agriphila tristella,ilAgrTris1,PRJEB48046,Common Grass-veneer,Annotation Complete,https://goat.genomehubs.org/records?record_id=1594226&result=taxon&taxonomy=ncbi#Agriphila tristella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Agriphila-tristella;https://wellcomeopenresearch.s3.amazonaws.com/manuscripts/20589/37504c7b-6fd1-47b2-83ba-ff78549a9aa5_18568%20-%20Tree%20of%20Life%20Team%20Sanger.html
Halyzia sedecimguttata,"icHalSede1, icHalSede2, icHalSede3",PRJEB51266,orange ladybird,Annotation Complete,https://goat.genomehubs.org/records?record_id=347359&result=taxon&taxonomy=ncbi#Halyzia sedecimguttata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Halyzia-sedecimguttata;
Pheosia tremula,ilPheTrem1,PRJEB43526,Swallow Prominent,Annotation Complete,https://goat.genomehubs.org/records?record_id=988019&result=taxon&taxonomy=ncbi#Pheosia tremula;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pheosia-tremula;https://wellcomeopenresearch.org/articles/6-335/v1
Pyrgus malvae,"ilPyrMalv4, ilPyrMalv1, ilPyrMalv2, ilPyrMalv3",PRJEB45654,grizzled skipper,Annotation Complete,https://goat.genomehubs.org/records?record_id=218760&result=taxon&taxonomy=ncbi#Pyrgus malvae;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pyrgus-malvae;https://wellcomeopenresearch.org/articles/7-114/v1
Habrosyne pyritoides,ilHabPyri1,PRJEB44829,Buff Arches,Annotation Complete,https://goat.genomehubs.org/records?record_id=721137&result=taxon&taxonomy=ncbi#Habrosyne pyritoides;https://tolqc.cog.sanger.ac.uk/darwin/insects/Habrosyne-pyritoides;
Cheilosia vulpina,"idCheVulp1, idCheVulp2",PRJEB46267,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=273409&result=taxon&taxonomy=ncbi#Cheilosia vulpina;https://tolqc.cog.sanger.ac.uk/darwin/insects/Cheilosia-vulpina;https://wellcomeopenresearch.org/articles/6-351/v1
Myathropa florea,"idMyaFlor3, idMyaFlor1, idMyaFlor2",PRJEB48253,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=2714349&result=taxon&taxonomy=ncbi#Myathropa florea;https://tolqc.cog.sanger.ac.uk/darwin/insects/Myathropa-florea;
Tachina lurida,idTacLuri1,PRJEB53394,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=631329&result=taxon&taxonomy=ncbi#Tachina lurida;https://tolqc.cog.sanger.ac.uk/darwin/insects/Tachina-lurida;
Ocypus olens,"icOcyOlen3, icOcyOlen2, icOcyOlen1",PRJEB45159,Devil's Coach-horse,Annotation Complete,https://goat.genomehubs.org/records?record_id=662956&result=taxon&taxonomy=ncbi#Ocypus olens;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ocypus-olens;https://wellcomeopenresearch.org/articles/6-293/v1
Andrena dorsata,"iyAndDors2, iyAndDors1",PRJEB48394,Short-fringed Mining Bee,Annotation Complete,https://goat.genomehubs.org/records?record_id=1411666&result=taxon&taxonomy=ncbi#Andrena dorsata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Andrena-dorsata;
Vespula vulgaris,"iyVesVulg2, iyVesVulg3, iyVesVulg4, iyVesVulg1",PRJEB43791,Common Wasp,Annotation Complete,https://goat.genomehubs.org/records?record_id=7454&result=taxon&taxonomy=ncbi#Vespula vulgaris;https://tolqc.cog.sanger.ac.uk/darwin/insects/Vespula-vulgaris;https://wellcomeopenresearch.org/articles/6-232/v1
Rutpela maculata,"icLepMacu1, icLepMacu2",PRJEB51449,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=878968&result=taxon&taxonomy=ncbi#Rutpela maculata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Rutpela-maculata;
Ectemnius lituratus,"iyEctLitu2, iyEctLitu1",PRJEB45145,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=2495015&result=taxon&taxonomy=ncbi#Ectemnius lituratus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ectemnius-lituratus;
Nymphalis polychloros,ilNymPoly1,PRJEB42942,blackleg tortoiseshell,Annotation Complete,https://goat.genomehubs.org/records?record_id=171594&result=taxon&taxonomy=ncbi#Nymphalis polychloros;https://tolqc.cog.sanger.ac.uk/darwin/insects/Nymphalis-polychloros;https://wellcomeopenresearch.org/articles/6-238/v1
Phyto melanocephala,idPhyMeln1,PRJEB51914,Three-striped Woodlouse-fly,Annotation Complete,https://goat.genomehubs.org/records?record_id=1262321&result=taxon&taxonomy=ncbi#Phyto melanocephala;https://tolqc.cog.sanger.ac.uk/darwin/insects/Phyto-melanocephala;
Lasioglossum lativentre,"iyLasLatv1, iyLasLatv2",PRJEB46259,Furry-claspered Furrow Bee,Annotation Complete,https://goat.genomehubs.org/records?record_id=88531&result=taxon&taxonomy=ncbi#Lasioglossum lativentre;https://tolqc.cog.sanger.ac.uk/darwin/insects/Lasioglossum-lativentre;https://wellcomeopenresearch.org/articles/7-57/v1
Coccinella septempunctata,"icCocSept2, icCocSept3, icCocSept4, icCocSept1",PRJEB44827,seven-spotted ladybird,Annotation Complete,https://goat.genomehubs.org/records?record_id=41139&result=taxon&taxonomy=ncbi#Coccinella septempunctata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Coccinella-septempunctata;https://wellcomeopenresearch.org/articles/6-319/v1
Melanostoma mellinum,"idMelMell1, idMelMell2",PRJEB46260,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=653684&result=taxon&taxonomy=ncbi#Melanostoma mellinum;https://tolqc.cog.sanger.ac.uk/darwin/insects/Melanostoma-mellinum;https://wellcomeopenresearch.org/articles/7-59/v1
Lasiommata megera,"ilLasMege2, ilLasMege3, ilLasMege4, ilLasMege5, ilLasMege6, ilLasMege7, ilLasMege8, ilLasMege1",PRJEB48326,wall brown,Annotation Complete,https://goat.genomehubs.org/records?record_id=111917&result=taxon&taxonomy=ncbi#Lasiommata megera;https://tolqc.cog.sanger.ac.uk/darwin/insects/Lasiommata-megera;https://wellcomeopenresearch.org/articles/7-230/v1
Blastobasis lacticolella,"ilBlaLact2, ilBlaLact1, ilBlaLact3",PRJEB42085,Wakely's Dowd,Annotation Complete,https://goat.genomehubs.org/records?record_id=2561016&result=taxon&taxonomy=ncbi#Blastobasis lacticolella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Blastobasis-lacticolella;
Anoplius nigerrimus,iyAnoNige1,PRJEB46256,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1667466&result=taxon&taxonomy=ncbi#Anoplius nigerrimus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Anoplius-nigerrimus;https://wellcomeopenresearch.org/articles/7-125/v1
Andrena minutula,"iyAndMinu1, iyAndMinu2",PRJEB47989,Common Mini-miner,Annotation Complete,https://goat.genomehubs.org/records?record_id=1190802&result=taxon&taxonomy=ncbi#Andrena minutula;https://tolqc.cog.sanger.ac.uk/darwin/insects/Andrena-minutula;https://wellcomeopenresearch.s3.amazonaws.com/manuscripts/20638/b0cb40a3-dc06-4cfe-886f-82583f86bb63_18611%20-%20Tree%20of%20Life%20Team%20Sanger.html
Dolichovespula media,"iyDolMedi2, iyDolMedi1",PRJEB45164,median wasp,Annotation Complete,https://goat.genomehubs.org/records?record_id=881891&result=taxon&taxonomy=ncbi#Dolichovespula media;https://tolqc.cog.sanger.ac.uk/darwin/insects/Dolichovespula-media;
Schrankia costaestrigalis,"ilSchCost2, ilSchCost1, ilSchCost3",PRJEB43789,pinion-streaked snout moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=411963&result=taxon&taxonomy=ncbi#Schrankia costaestrigalis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Schrankia-costaestrigalis;
Omphaloscelis lunosa,ilOmpLuno1,PRJEB46282,Lunar Underwing,Annotation Complete,https://goat.genomehubs.org/records?record_id=2492375&result=taxon&taxonomy=ncbi#Omphaloscelis lunosa;https://tolqc.cog.sanger.ac.uk/darwin/insects/Omphaloscelis-lunosa;
Thymelicus sylvestris,"ilThySylv2, ilThySylv3, ilThySylv4, ilThySylv1",PRJEB45662,small skipper,Annotation Complete,https://goat.genomehubs.org/records?record_id=272628&result=taxon&taxonomy=ncbi#Thymelicus sylvestris;https://tolqc.cog.sanger.ac.uk/darwin/insects/Thymelicus-sylvestris;https://wellcomeopenresearch.org/articles/7-35/v1
Canis lupus,mCanLor1,PRJEB43408,gray wolf,Annotation Complete,https://goat.genomehubs.org/records?record_id=9612&result=taxon&taxonomy=ncbi#Canis lupus;https://tolqc.cog.sanger.ac.uk/darwin/mammals/Canis-lupus;https://wellcomeopenresearch.org/articles/6-310/v1
Peribatodes rhomboidaria,ilPerRhom1,PRJEB45167,willow beauty,Annotation Complete,https://goat.genomehubs.org/records?record_id=190356&result=taxon&taxonomy=ncbi#Peribatodes rhomboidaria;https://tolqc.cog.sanger.ac.uk/darwin/insects/Peribatodes-rhomboidaria;
Pollenia amentaria,"idPolAmen2, idPolAmen1",PRJEB52926,Black-bellied Clusterfly,Annotation Complete,https://goat.genomehubs.org/records?record_id=670595&result=taxon&taxonomy=ncbi#Pollenia amentaria;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pollenia-amentaria;
Pieris rapae,ilPieRapa1,PRJEB42110,cabbage white,Annotation Complete,https://goat.genomehubs.org/records?record_id=64459&result=taxon&taxonomy=ncbi#Pieris rapae;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pieris-rapae;https://wellcomeopenresearch.org/articles/6-273/v1
Acronicta aceris,ilAcrAcer1,PRJEB45160,Sycamore,Annotation Complete,https://goat.genomehubs.org/records?record_id=987859&result=taxon&taxonomy=ncbi#Acronicta aceris;https://tolqc.cog.sanger.ac.uk/darwin/insects/Acronicta-aceris;https://wellcomeopenresearch.org/articles/6-326/v1
Sesia apiformis,"ilSesApif1, ilSesApif2",PRJEB46285,Hornet Moth,Annotation Complete,https://goat.genomehubs.org/records?record_id=748215&result=taxon&taxonomy=ncbi#Sesia apiformis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Sesia-apiformis;
Papilio machaon,"ilPapMach2, ilPapMach1",PRJEB46255,common yellow swallowtail,Annotation Complete,https://goat.genomehubs.org/records?record_id=76193&result=taxon&taxonomy=ncbi#Papilio machaon;https://tolqc.cog.sanger.ac.uk/darwin/insects/Papilio-machaon;https://wellcomeopenresearch.org/articles/7-261/v1
Anthocharis cardamines,"ilAntCard2, ilAntCard1, ilAntCard4, ilAntCard3",PRJEB43775,orange tip,Annotation Complete,https://goat.genomehubs.org/records?record_id=227532&result=taxon&taxonomy=ncbi#Anthocharis cardamines;https://tolqc.cog.sanger.ac.uk/darwin/insects/Anthocharis-cardamines;https://wellcomeopenresearch.org/articles/7-260/v1
Aricia agestis,ilAriAges1,PRJEB42082,brown argus,Annotation Complete,https://goat.genomehubs.org/records?record_id=91739&result=taxon&taxonomy=ncbi#Aricia agestis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Aricia-agestis;
Euproctis similis,ilEupSimi1,PRJEB42093,Yellow-tail,Annotation Complete,https://goat.genomehubs.org/records?record_id=987935&result=taxon&taxonomy=ncbi#Euproctis similis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Euproctis-similis;https://wellcomeopenresearch.org/articles/6-227/v2
Bellardia pandia,idBelPand1,PRJEB45660,Bisetose Emerald-bottle,Annotation Complete,https://goat.genomehubs.org/records?record_id=2795671&result=taxon&taxonomy=ncbi#Bellardia pandia;https://tolqc.cog.sanger.ac.uk/darwin/insects/Bellardia-pandia;https://wellcomeopenresearch.org/articles/6-344/v1
Xestia sexstrigata,ilXesSexs1,PRJEB52019,Six-striped Rustic,Annotation Complete,https://goat.genomehubs.org/records?record_id=997545&result=taxon&taxonomy=ncbi#Xestia sexstrigata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Xestia-sexstrigata;
Plebejus argus,"ilPleArgu2, ilPleArgu3",PRJEB43788,Silver-studded Blue,Annotation Complete,https://goat.genomehubs.org/records?record_id=242267&result=taxon&taxonomy=ncbi#Plebejus argus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Plebejus-argus;https://wellcomeopenresearch.s3.amazonaws.com/manuscripts/20634/29f6cd12-5909-4f52-8160-d0070cca2b43_18607%20-%20Tree%20of%20Life%20Team%20Sanger.html
Melitaea cinxia,"ilMelCinx2, ilMelCinx1",PRJEB42941,Glanville fritillary,Annotation Complete,https://goat.genomehubs.org/records?record_id=113334&result=taxon&taxonomy=ncbi#Melitaea cinxia;https://tolqc.cog.sanger.ac.uk/darwin/insects/Melitaea-cinxia;https://wellcomeopenresearch.org/articles/6-266/v1
Luperina testacea,ilLupTest1,PRJEB48327,Flounced Rustic,Annotation Complete,https://goat.genomehubs.org/records?record_id=988174&result=taxon&taxonomy=ncbi#Luperina testacea;https://tolqc.cog.sanger.ac.uk/darwin/insects/Luperina-testacea;https://wellcomeopenresearch.org/articles/7-127/v1
Pheosia gnoma,ilPheGnom1,PRJEB44824,Lesser Swallow Prominent,Annotation Complete,https://goat.genomehubs.org/records?record_id=988018&result=taxon&taxonomy=ncbi#Pheosia gnoma;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pheosia-gnoma;
Eulithis prunata,ilEulPrun1,PRJEB46836,Phoenix,Annotation Complete,https://goat.genomehubs.org/records?record_id=934839&result=taxon&taxonomy=ncbi#Eulithis prunata;https://tolqc.cog.sanger.ac.uk/darwin/insects/Eulithis-prunata;
Sphecodes monilicornis,iySphMoni1,PRJEB45661,Square-headed Blood Bee,Annotation Complete,https://goat.genomehubs.org/records?record_id=1190790&result=taxon&taxonomy=ncbi#Sphecodes monilicornis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Sphecodes-monilicornis;https://wellcomeopenresearch.org/articles/7-115/v1
Chrysoteuchia culmella,"ilChrCulm2, ilChrCulm1",PRJEB45108,Garden Grass-veneer,Annotation Complete,https://goat.genomehubs.org/records?record_id=1594250&result=taxon&taxonomy=ncbi#Chrysoteuchia culmella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Chrysoteuchia-culmella;https://wellcomeopenresearch.org/articles/7-248/v1
Mythimna albipuncta,ilMytAlbi1,PRJEB48325,White-point,Annotation Complete,https://goat.genomehubs.org/records?record_id=987983&result=taxon&taxonomy=ncbi#Mythimna albipuncta;https://tolqc.cog.sanger.ac.uk/darwin/insects/Mythimna-albipuncta;
Synanthedon andrenaeformis,"ilSynAndr2, ilSynAndr1",PRJEB51446,Orange-tailed Clearwing,Annotation Complete,https://goat.genomehubs.org/records?record_id=1108569&result=taxon&taxonomy=ncbi#Synanthedon andrenaeformis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Synanthedon-andrenaeformis;
Pammene fasciana,"ilPamFasc2, ilPamFasc1",PRJEB45659,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1101027&result=taxon&taxonomy=ncbi#Pammene fasciana;https://tolqc.cog.sanger.ac.uk/darwin/insects/Pammene-fasciana;https://wellcomeopenresearch.org/articles/7-258/v1
Ophion luteus,iyOphLute1,PRJEB53248,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1539398&result=taxon&taxonomy=ncbi#Ophion luteus;https://tolqc.cog.sanger.ac.uk/darwin/insects/Ophion-luteus;
Brachylomia viminalis,ilBraVimi1,PRJEB51264,Minor Shoulder-knot,Annotation Complete,https://goat.genomehubs.org/records?record_id=988081&result=taxon&taxonomy=ncbi#Brachylomia viminalis;https://tolqc.cog.sanger.ac.uk/darwin/insects/Brachylomia-viminalis;
Hedya salicella,ilHedSali1,PRJEB43782,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1869985&result=taxon&taxonomy=ncbi#Hedya salicella;https://tolqc.cog.sanger.ac.uk/darwin/insects/Hedya-salicella;
Rhagonycha fulva,"icRhaFulv2, icRhaFulv3, icRhaFulv4, icRhaFulv1, icRhaFulv6, icRhaFulv5",PRJEB43739,Common Red Soldier Beetle,Annotation Complete,https://goat.genomehubs.org/records?record_id=41101&result=taxon&taxonomy=ncbi#Rhagonycha fulva;https://tolqc.cog.sanger.ac.uk/darwin/insects/Rhagonycha-fulva;https://wellcomeopenresearch.org/articles/6-243/v1
Bombylius major,"idBomMajo2, idBomMajo1",PRJEB50853,Dark-edged Bee-fly,Annotation Complete,https://goat.genomehubs.org/records?record_id=240869&result=taxon&taxonomy=ncbi#Bombylius major;https://tolqc.cog.sanger.ac.uk/darwin/insects/Bombylius-major;
Epistrophe grossulariae,"idEpiGros2, idEpiGros1",PRJEB47849,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1352479&result=taxon&taxonomy=ncbi#Epistrophe grossulariae;https://tolqc.cog.sanger.ac.uk/darwin/insects/Epistrophe-grossulariae;
Amphipyra berbera,"ilAmpBerb1, ilAmpBerb2",PRJEB45112,Svensson's Copper Underwing,Annotation Complete,https://goat.genomehubs.org/records?record_id=987877&result=taxon&taxonomy=ncbi#Amphipyra berbera;https://tolqc.cog.sanger.ac.uk/darwin/insects/Amphipyra-berbera;https://wellcomeopenresearch.org/articles/6-314/v1
Dryobotodes eremita,ilDryErem1,PRJEB46279,Brindled Green,Annotation Complete,https://goat.genomehubs.org/records?record_id=988106&result=taxon&taxonomy=ncbi#Dryobotodes eremita;https://tolqc.cog.sanger.ac.uk/darwin/insects/Dryobotodes-eremita;
Hydraecia micacea,"ilHydMica1, ilHydMica2",PRJEB46281,rosy rustic,Annotation Complete,https://goat.genomehubs.org/records?record_id=214171&result=taxon&taxonomy=ncbi#Hydraecia micacea;https://tolqc.cog.sanger.ac.uk/darwin/insects/Hydraecia-micacea;https://wellcomeopenresearch.org/articles/7-131/v1
Maniola jurtina,ilManJurt11,PRJEB43524,meadow brown,Annotation Complete,https://goat.genomehubs.org/records?record_id=191418&result=taxon&taxonomy=ncbi#Maniola jurtina;https://tolqc.cog.sanger.ac.uk/darwin/insects/Maniola-jurtina;https://wellcomeopenresearch.org/articles/6-296/v1
Agriopis aurantiaria,ilAgrAura1,PRJEB46275,Scarce Umber,Annotation Complete,https://goat.genomehubs.org/records?record_id=104476&result=taxon&taxonomy=ncbi#Agriopis aurantiaria;https://tolqc.cog.sanger.ac.uk/darwin/insects/Agriopis-aurantiaria;
Eristalis pertinax,"idEriPert4, idEriPert1, idEriPert3, idEriPert2",PRJEB44976,-,Annotation Complete,https://goat.genomehubs.org/records?record_id=1572519&result=taxon&taxonomy=ncbi#Eristalis pertinax;https://tolqc.cog.sanger.ac.uk/darwin/insects/Eristalis-pertinax;https://wellcomeopenresearch.org/articles/6-292/v2
Diarsia rubi,ilDiaRubi1,PRJEB50477,Small Square-spot,Annotation Complete,https://goat.genomehubs.org/records?record_id=987925&result=taxon&taxonomy=ncbi#Diarsia rubi;https://tolqc.cog.sanger.ac.uk/darwin/insects/Diarsia-rubi;
